element_id,guid,source,ifc_class,category,element_name,type_name,level,material,length_m,area_m2,volume_m3,quantity,unit,unit_price,total_cost,quantity_source,quality_status,raw_unit,raw_row_number,source_file,exception_tags
E-0019,GUID-0019,CSV,IfcBeam,Beam,INVALID,IfcBeam-Standard,一层,混凝土,10.272,9.739,7.881,7.881,m³,520.0,4098.12,CSV Schedule,Pass,m³,20,sample_elements.csv,invalid_name
E-0020,GUID-0020,CSV,IfcColumn,Column,柱-AA-020,IfcColumn-Standard,二层,混凝土,7.719,11.754,3.496,3.496,unknown,,,CSV Schedule,Pass,unknown,21,sample_elements.csv,invalid_unit
E-0021,GUID-0021,CSV,IfcSlab,Slab,板-AA-021,IfcSlab-Standard,三层,混凝土,9.229,21.637,1.281,1.281,unknown,,,CSV Schedule,Pass,unknown,22,sample_elements.csv,invalid_unit
E-0022,GUID-0022,CSV,IfcWall,Wall,墙-AA-022,IfcWall-Standard,一层,未知材料,5.763,25.279,4.02,4.02,m³,,,CSV Schedule,Pass,m³,23,sample_elements.csv,unmatched_unit_price
E-0023,GUID-0023,CSV,IfcDoor,Door,门-AA-023,IfcDoor-Standard,二层,未知材料,7.469,11.044,0.56,1.0,樘,,,CSV Schedule,Pass,樘,24,sample_elements.csv,unmatched_unit_price
E-0024,GUID-0024,CSV,IfcWindow,Window,窗-AA-024,IfcWindow-Standard,三层,玻璃,7.654,13.982,4.972,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,25,sample_elements.csv,
E-0025,GUID-0025,CSV,IfcBeam,Beam,梁-AA-025,IfcBeam-Standard,一层,混凝土,5.136,5.166,3.804,3.804,m³,520.0,1978.08,CSV Schedule,Pass,m³,26,sample_elements.csv,
E-0026,GUID-0026,CSV,IfcColumn,Column,柱-AA-026,IfcColumn-Standard,二层,混凝土,10.167,21.132,7.36,7.36,m³,560.0,4121.6,CSV Schedule,Pass,m³,27,sample_elements.csv,
E-0027,GUID-0027,CSV,IfcSlab,Slab,板-AA-027,IfcSlab-Standard,三层,混凝土,4.111,17.052,6.795,6.795,m³,480.0,3261.6,CSV Schedule,Pass,m³,28,sample_elements.csv,
E-0028,GUID-0028,CSV,IfcWall,Wall,墙-AA-028,IfcWall-Standard,一层,混凝土,8.312,20.312,0.205,0.205,m³,430.0,88.15,CSV Schedule,Pass,m³,29,sample_elements.csv,
E-0029,GUID-0029,CSV,IfcDoor,Door,门-AA-029,IfcDoor-Standard,二层,木材,6.254,10.914,6.559,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,30,sample_elements.csv,
E-0030,GUID-0030,CSV,IfcWindow,Window,窗-AA-030,IfcWindow-Standard,三层,玻璃,1.986,2.539,7.335,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,31,sample_elements.csv,
E-0031,GUID-0031,CSV,IfcBeam,Beam,梁-AA-031,IfcBeam-Standard,一层,混凝土,2.424,22.199,5.545,5.545,m³,520.0,2883.4,CSV Schedule,Pass,m³,32,sample_elements.csv,
E-0032,GUID-0032,CSV,IfcColumn,Column,柱-AA-032,IfcColumn-Standard,二层,混凝土,10.008,27.579,4.23,4.23,m³,560.0,2368.8,CSV Schedule,Pass,m³,33,sample_elements.csv,
E-0033,GUID-0033,CSV,IfcSlab,Slab,板-AA-033,IfcSlab-Standard,三层,混凝土,4.6,11.067,4.702,4.702,m³,480.0,2256.96,CSV Schedule,Pass,m³,34,sample_elements.csv,
E-0034,GUID-0034,CSV,IfcWall,Wall,墙-AA-034,IfcWall-Standard,一层,混凝土,8.142,2.565,1.354,1.354,m³,430.0,582.22,CSV Schedule,Pass,m³,35,sample_elements.csv,
E-0035,GUID-0035,CSV,IfcDoor,Door,门-AA-035,IfcDoor-Standard,二层,木材,7.742,21.714,2.501,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,36,sample_elements.csv,
E-0036,GUID-0036,CSV,IfcWindow,Window,窗-AA-036,IfcWindow-Standard,三层,玻璃,10.695,11.785,3.488,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,37,sample_elements.csv,
E-0037,GUID-0037,CSV,IfcBeam,Beam,梁-AA-037,IfcBeam-Standard,一层,混凝土,11.107,6.359,5.039,5.039,m³,520.0,2620.28,CSV Schedule,Pass,m³,38,sample_elements.csv,
E-0038,GUID-0038,CSV,IfcColumn,Column,柱-AA-038,IfcColumn-Standard,二层,混凝土,10.458,18.424,2.548,2.548,m³,560.0,1426.88,CSV Schedule,Pass,m³,39,sample_elements.csv,
E-0039,GUID-0039,CSV,IfcSlab,Slab,板-AA-039,IfcSlab-Standard,三层,混凝土,9.655,7.817,7.932,7.932,m³,480.0,3807.36,CSV Schedule,Pass,m³,40,sample_elements.csv,
E-0040,GUID-0040,CSV,IfcWall,Wall,墙-AA-040,IfcWall-Standard,一层,混凝土,1.85,14.811,5.842,5.842,m³,430.0,2512.06,CSV Schedule,Pass,m³,41,sample_elements.csv,
E-0041,GUID-0041,CSV,IfcDoor,Door,门-AA-041,IfcDoor-Standard,二层,木材,10.239,8.978,6.715,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,42,sample_elements.csv,
E-0042,GUID-0042,CSV,IfcWindow,Window,窗-AA-042,IfcWindow-Standard,三层,玻璃,4.877,5.433,3.384,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,43,sample_elements.csv,
E-0043,GUID-0043,CSV,IfcBeam,Beam,梁-AA-043,IfcBeam-Standard,一层,混凝土,9.99,22.081,1.988,1.988,m³,520.0,1033.76,CSV Schedule,Pass,m³,44,sample_elements.csv,
E-0044,GUID-0044,CSV,IfcColumn,Column,柱-AA-044,IfcColumn-Standard,二层,混凝土,1.133,6.962,7.863,7.863,m³,560.0,4403.28,CSV Schedule,Pass,m³,45,sample_elements.csv,
E-0045,GUID-0045,CSV,IfcSlab,Slab,板-AA-045,IfcSlab-Standard,三层,混凝土,5.764,1.139,0.41,0.41,m³,480.0,196.8,CSV Schedule,Pass,m³,46,sample_elements.csv,
E-0046,GUID-0046,CSV,IfcWall,Wall,墙-AA-046,IfcWall-Standard,一层,混凝土,10.617,7.939,3.01,3.01,m³,430.0,1294.3,CSV Schedule,Pass,m³,47,sample_elements.csv,
E-0047,GUID-0047,CSV,IfcDoor,Door,门-AA-047,IfcDoor-Standard,二层,木材,10.765,16.205,6.002,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,48,sample_elements.csv,
E-0048,GUID-0048,CSV,IfcWindow,Window,窗-AA-048,IfcWindow-Standard,三层,玻璃,2.04,23.293,6.153,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,49,sample_elements.csv,
E-0049,GUID-0049,CSV,IfcBeam,Beam,梁-AA-049,IfcBeam-Standard,一层,混凝土,4.584,22.163,4.885,4.885,m³,520.0,2540.2,CSV Schedule,Pass,m³,50,sample_elements.csv,
E-0050,GUID-0050,CSV,IfcColumn,Column,柱-AA-050,IfcColumn-Standard,二层,混凝土,4.019,29.393,4.676,4.676,m³,560.0,2618.56,CSV Schedule,Pass,m³,51,sample_elements.csv,
E-0051,GUID-0051,CSV,IfcSlab,Slab,板-AA-051,IfcSlab-Standard,三层,混凝土,11.043,21.724,3.934,3.934,m³,480.0,1888.32,CSV Schedule,Pass,m³,52,sample_elements.csv,
E-0052,GUID-0052,CSV,IfcWall,Wall,墙-AA-052,IfcWall-Standard,一层,混凝土,4.587,13.328,7.974,7.974,m³,430.0,3428.82,CSV Schedule,Pass,m³,53,sample_elements.csv,
E-0053,GUID-0053,CSV,IfcDoor,Door,门-AA-053,IfcDoor-Standard,二层,木材,7.854,16.983,5.047,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,54,sample_elements.csv,
E-0054,GUID-0054,CSV,IfcWindow,Window,窗-AA-054,IfcWindow-Standard,三层,玻璃,6.748,20.63,4.775,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,55,sample_elements.csv,
E-0055,GUID-0055,CSV,IfcBeam,Beam,梁-AA-055,IfcBeam-Standard,一层,混凝土,10.982,13.467,5.964,5.964,m³,520.0,3101.28,CSV Schedule,Pass,m³,56,sample_elements.csv,
E-0056,GUID-0056,CSV,IfcColumn,Column,柱-AA-056,IfcColumn-Standard,二层,混凝土,8.21,11.251,6.106,6.106,m³,560.0,3419.36,CSV Schedule,Pass,m³,57,sample_elements.csv,
E-0057,GUID-0057,CSV,IfcSlab,Slab,板-AA-057,IfcSlab-Standard,三层,混凝土,8.328,4.518,0.768,0.768,m³,480.0,368.64,CSV Schedule,Pass,m³,58,sample_elements.csv,
E-0058,GUID-0058,CSV,IfcWall,Wall,墙-AA-058,IfcWall-Standard,一层,混凝土,8.663,4.726,1.69,1.69,m³,430.0,726.7,CSV Schedule,Pass,m³,59,sample_elements.csv,
E-0059,GUID-0059,CSV,IfcDoor,Door,门-AA-059,IfcDoor-Standard,二层,木材,5.119,14.759,7.416,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,60,sample_elements.csv,
E-0060,GUID-0060,CSV,IfcWindow,Window,窗-AA-060,IfcWindow-Standard,三层,玻璃,1.713,25.958,5.663,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,61,sample_elements.csv,
E-0061,GUID-0061,CSV,IfcBeam,Beam,梁-AA-061,IfcBeam-Standard,一层,混凝土,6.765,22.912,5.661,5.661,m³,520.0,2943.72,CSV Schedule,Pass,m³,62,sample_elements.csv,
E-0062,GUID-0062,CSV,IfcColumn,Column,柱-AA-062,IfcColumn-Standard,二层,混凝土,8.051,15.227,4.677,4.677,m³,560.0,2619.12,CSV Schedule,Pass,m³,63,sample_elements.csv,
E-0063,GUID-0063,CSV,IfcSlab,Slab,板-AA-063,IfcSlab-Standard,三层,混凝土,1.732,2.953,7.492,7.492,m³,480.0,3596.16,CSV Schedule,Pass,m³,64,sample_elements.csv,
E-0064,GUID-0064,CSV,IfcWall,Wall,墙-AA-064,IfcWall-Standard,一层,混凝土,8.604,23.867,1.05,1.05,m³,430.0,451.5,CSV Schedule,Pass,m³,65,sample_elements.csv,
E-0065,GUID-0065,CSV,IfcDoor,Door,门-AA-065,IfcDoor-Standard,二层,木材,2.958,3.108,6.396,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,66,sample_elements.csv,
E-0066,GUID-0066,CSV,IfcWindow,Window,窗-AA-066,IfcWindow-Standard,三层,玻璃,1.188,28.274,3.75,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,67,sample_elements.csv,
E-0067,GUID-0067,CSV,IfcBeam,Beam,梁-AA-067,IfcBeam-Standard,一层,混凝土,4.676,17.648,3.62,3.62,m³,520.0,1882.4,CSV Schedule,Pass,m³,68,sample_elements.csv,
E-0068,GUID-0068,CSV,IfcColumn,Column,柱-AA-068,IfcColumn-Standard,二层,混凝土,3.533,16.172,5.302,5.302,m³,560.0,2969.12,CSV Schedule,Pass,m³,69,sample_elements.csv,
E-0069,GUID-0069,CSV,IfcSlab,Slab,板-AA-069,IfcSlab-Standard,三层,混凝土,8.787,20.156,1.485,1.485,m³,480.0,712.8,CSV Schedule,Pass,m³,70,sample_elements.csv,
E-0070,GUID-0070,CSV,IfcWall,Wall,墙-AA-070,IfcWall-Standard,一层,混凝土,4.011,5.282,6.612,6.612,m³,430.0,2843.16,CSV Schedule,Pass,m³,71,sample_elements.csv,
E-0071,GUID-0071,CSV,IfcDoor,Door,门-AA-071,IfcDoor-Standard,二层,木材,1.193,10.583,4.283,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,72,sample_elements.csv,
E-0072,GUID-0072,CSV,IfcWindow,Window,窗-AA-072,IfcWindow-Standard,三层,玻璃,1.718,29.145,0.392,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,73,sample_elements.csv,
E-0073,GUID-0073,CSV,IfcBeam,Beam,梁-AA-073,IfcBeam-Standard,一层,混凝土,8.5,13.677,6.68,6.68,m³,520.0,3473.6,CSV Schedule,Pass,m³,74,sample_elements.csv,
E-0074,GUID-0074,CSV,IfcColumn,Column,柱-AA-074,IfcColumn-Standard,二层,混凝土,11.128,17.009,2.547,2.547,m³,560.0,1426.32,CSV Schedule,Pass,m³,75,sample_elements.csv,
E-0075,GUID-0075,CSV,IfcSlab,Slab,板-AA-075,IfcSlab-Standard,三层,混凝土,7.408,16.542,6.338,6.338,m³,480.0,3042.24,CSV Schedule,Pass,m³,76,sample_elements.csv,
E-0076,GUID-0076,CSV,IfcWall,Wall,墙-AA-076,IfcWall-Standard,一层,混凝土,1.763,1.247,4.121,4.121,m³,430.0,1772.03,CSV Schedule,Pass,m³,77,sample_elements.csv,
E-0077,GUID-0077,CSV,IfcDoor,Door,门-AA-077,IfcDoor-Standard,二层,木材,2.633,27.779,0.24,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,78,sample_elements.csv,
E-0078,GUID-0078,CSV,IfcWindow,Window,窗-AA-078,IfcWindow-Standard,三层,玻璃,7.024,21.765,3.209,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,79,sample_elements.csv,
E-0079,GUID-0079,CSV,IfcBeam,Beam,梁-AA-079,IfcBeam-Standard,一层,混凝土,1.037,2.255,2.806,2.806,m³,520.0,1459.12,CSV Schedule,Pass,m³,80,sample_elements.csv,
E-0080,GUID-0080,CSV,IfcColumn,Column,柱-AA-080,IfcColumn-Standard,二层,混凝土,9.122,21.187,2.001,2.001,m³,560.0,1120.56,CSV Schedule,Pass,m³,81,sample_elements.csv,
E-0081,GUID-0081,CSV,IfcSlab,Slab,板-AA-081,IfcSlab-Standard,三层,混凝土,3.318,22.487,4.723,4.723,m³,480.0,2267.04,CSV Schedule,Pass,m³,82,sample_elements.csv,
E-0082,GUID-0082,CSV,IfcWall,Wall,墙-AA-082,IfcWall-Standard,一层,混凝土,5.067,3.603,5.663,5.663,m³,430.0,2435.09,CSV Schedule,Pass,m³,83,sample_elements.csv,
E-0083,GUID-0083,CSV,IfcDoor,Door,门-AA-083,IfcDoor-Standard,二层,木材,5.842,18.635,6.026,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,84,sample_elements.csv,
E-0084,GUID-0084,CSV,IfcWindow,Window,窗-AA-084,IfcWindow-Standard,三层,玻璃,9.229,12.817,5.737,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,85,sample_elements.csv,
E-0085,GUID-0085,CSV,IfcBeam,Beam,梁-AA-085,IfcBeam-Standard,一层,混凝土,11.373,20.857,0.229,0.229,m³,520.0,119.08,CSV Schedule,Pass,m³,86,sample_elements.csv,
E-0086,GUID-0086,CSV,IfcColumn,Column,柱-AA-086,IfcColumn-Standard,二层,混凝土,3.365,12.6,6.424,6.424,m³,560.0,3597.44,CSV Schedule,Pass,m³,87,sample_elements.csv,
E-0087,GUID-0087,CSV,IfcSlab,Slab,板-AA-087,IfcSlab-Standard,三层,混凝土,6.804,20.348,4.866,4.866,m³,480.0,2335.68,CSV Schedule,Pass,m³,88,sample_elements.csv,
E-0088,GUID-0088,CSV,IfcWall,Wall,墙-AA-088,IfcWall-Standard,一层,混凝土,9.72,0.658,5.541,5.541,m³,430.0,2382.63,CSV Schedule,Pass,m³,89,sample_elements.csv,
E-0089,GUID-0089,CSV,IfcDoor,Door,门-AA-089,IfcDoor-Standard,二层,木材,11.154,11.17,5.539,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,90,sample_elements.csv,
E-0090,GUID-0090,CSV,IfcWindow,Window,窗-AA-090,IfcWindow-Standard,三层,玻璃,3.817,16.393,2.828,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,91,sample_elements.csv,
E-0091,GUID-0091,CSV,IfcBeam,Beam,梁-AA-091,IfcBeam-Standard,一层,混凝土,2.163,22.055,7.26,7.26,m³,520.0,3775.2,CSV Schedule,Pass,m³,92,sample_elements.csv,
E-0092,GUID-0092,CSV,IfcColumn,Column,柱-AA-092,IfcColumn-Standard,二层,混凝土,2.546,5.665,5.405,5.405,m³,560.0,3026.8,CSV Schedule,Pass,m³,93,sample_elements.csv,
E-0093,GUID-0093,CSV,IfcSlab,Slab,板-AA-093,IfcSlab-Standard,三层,混凝土,2.147,28.662,4.974,4.974,m³,480.0,2387.52,CSV Schedule,Pass,m³,94,sample_elements.csv,
E-0094,GUID-0094,CSV,IfcWall,Wall,墙-AA-094,IfcWall-Standard,一层,混凝土,4.083,29.573,6.726,6.726,m³,430.0,2892.18,CSV Schedule,Pass,m³,95,sample_elements.csv,
E-0095,GUID-0095,CSV,IfcDoor,Door,门-AA-095,IfcDoor-Standard,二层,木材,7.375,20.058,4.039,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,96,sample_elements.csv,
E-0096,GUID-0096,CSV,IfcWindow,Window,窗-AA-096,IfcWindow-Standard,三层,玻璃,11.272,23.733,2.548,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,97,sample_elements.csv,
E-0097,GUID-0097,CSV,IfcBeam,Beam,梁-AA-097,IfcBeam-Standard,一层,混凝土,10.844,2.013,3.713,3.713,m³,520.0,1930.76,CSV Schedule,Pass,m³,98,sample_elements.csv,
E-0098,GUID-0098,CSV,IfcColumn,Column,柱-AA-098,IfcColumn-Standard,二层,混凝土,8.445,16.148,2.149,2.149,m³,560.0,1203.44,CSV Schedule,Pass,m³,99,sample_elements.csv,
E-0099,GUID-0099,CSV,IfcSlab,Slab,板-AA-099,IfcSlab-Standard,三层,混凝土,5.151,10.986,0.547,0.547,m³,480.0,262.56,CSV Schedule,Pass,m³,100,sample_elements.csv,
E-0100,GUID-0100,CSV,IfcWall,Wall,墙-AA-100,IfcWall-Standard,一层,混凝土,3.341,20.101,2.223,2.223,m³,430.0,955.89,CSV Schedule,Pass,m³,101,sample_elements.csv,
E-0101,GUID-0101,CSV,IfcDoor,Door,门-AA-101,IfcDoor-Standard,二层,木材,11.929,5.483,5.549,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,102,sample_elements.csv,
E-0102,GUID-0102,CSV,IfcWindow,Window,窗-AA-102,IfcWindow-Standard,三层,玻璃,2.115,10.444,0.454,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,103,sample_elements.csv,
E-0103,GUID-0103,CSV,IfcBeam,Beam,梁-AA-103,IfcBeam-Standard,一层,混凝土,10.014,28.132,3.527,3.527,m³,520.0,1834.04,CSV Schedule,Pass,m³,104,sample_elements.csv,
E-0104,GUID-0104,CSV,IfcColumn,Column,柱-AA-104,IfcColumn-Standard,二层,混凝土,8.541,10.98,4.908,4.908,m³,560.0,2748.48,CSV Schedule,Pass,m³,105,sample_elements.csv,
E-0105,GUID-0105,CSV,IfcSlab,Slab,板-AA-105,IfcSlab-Standard,三层,混凝土,9.921,25.864,5.303,5.303,m³,480.0,2545.44,CSV Schedule,Pass,m³,106,sample_elements.csv,
E-0106,GUID-0106,CSV,IfcWall,Wall,墙-AA-106,IfcWall-Standard,一层,混凝土,11.619,4.82,6.41,6.41,m³,430.0,2756.3,CSV Schedule,Pass,m³,107,sample_elements.csv,
E-0107,GUID-0107,CSV,IfcDoor,Door,门-AA-107,IfcDoor-Standard,二层,木材,1.781,6.834,6.609,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,108,sample_elements.csv,
E-0108,GUID-0108,CSV,IfcWindow,Window,窗-AA-108,IfcWindow-Standard,三层,玻璃,4.036,8.878,7.588,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,109,sample_elements.csv,
E-0109,GUID-0109,CSV,IfcBeam,Beam,梁-AA-109,IfcBeam-Standard,一层,混凝土,11.83,12.579,2.97,2.97,m³,520.0,1544.4,CSV Schedule,Pass,m³,110,sample_elements.csv,
E-0110,GUID-0110,CSV,IfcColumn,Column,柱-AA-110,IfcColumn-Standard,二层,混凝土,3.983,9.104,5.794,5.794,m³,560.0,3244.64,CSV Schedule,Pass,m³,111,sample_elements.csv,
E-0111,GUID-0111,CSV,IfcSlab,Slab,板-AA-111,IfcSlab-Standard,三层,混凝土,7.735,20.934,5.541,5.541,m³,480.0,2659.68,CSV Schedule,Pass,m³,112,sample_elements.csv,
E-0112,GUID-0112,CSV,IfcWall,Wall,墙-AA-112,IfcWall-Standard,一层,混凝土,10.257,20.507,6.725,6.725,m³,430.0,2891.75,CSV Schedule,Pass,m³,113,sample_elements.csv,
E-0113,GUID-0113,CSV,IfcDoor,Door,门-AA-113,IfcDoor-Standard,二层,木材,10.244,1.956,0.34,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,114,sample_elements.csv,
E-0114,GUID-0114,CSV,IfcWindow,Window,窗-AA-114,IfcWindow-Standard,三层,玻璃,2.941,27.099,2.738,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,115,sample_elements.csv,
E-0115,GUID-0115,CSV,IfcBeam,Beam,梁-AA-115,IfcBeam-Standard,一层,混凝土,8.935,25.076,6.315,6.315,m³,520.0,3283.8,CSV Schedule,Pass,m³,116,sample_elements.csv,
E-0116,GUID-0116,CSV,IfcColumn,Column,柱-AA-116,IfcColumn-Standard,二层,混凝土,6.888,11.299,4.741,4.741,m³,560.0,2654.96,CSV Schedule,Pass,m³,117,sample_elements.csv,
E-0117,GUID-0117,CSV,IfcSlab,Slab,板-AA-117,IfcSlab-Standard,三层,混凝土,1.966,1.233,7.546,7.546,m³,480.0,3622.08,CSV Schedule,Pass,m³,118,sample_elements.csv,
E-0118,GUID-0118,CSV,IfcWall,Wall,墙-AA-118,IfcWall-Standard,一层,混凝土,2.579,19.903,2.741,2.741,m³,430.0,1178.63,CSV Schedule,Pass,m³,119,sample_elements.csv,
E-0119,GUID-0119,CSV,IfcDoor,Door,门-AA-119,IfcDoor-Standard,二层,木材,2.627,11.508,6.716,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,120,sample_elements.csv,
E-0120,GUID-0120,CSV,IfcWindow,Window,窗-AA-120,IfcWindow-Standard,三层,玻璃,9.621,28.687,1.805,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,121,sample_elements.csv,
E-0121,GUID-0121,CSV,IfcBeam,Beam,梁-AA-121,IfcBeam-Standard,一层,混凝土,6.244,29.882,6.051,6.051,m³,520.0,3146.52,CSV Schedule,Pass,m³,122,sample_elements.csv,
E-0122,GUID-0122,CSV,IfcColumn,Column,柱-AA-122,IfcColumn-Standard,二层,混凝土,10.684,18.172,0.995,0.995,m³,560.0,557.2,CSV Schedule,Pass,m³,123,sample_elements.csv,
E-0123,GUID-0123,CSV,IfcSlab,Slab,板-AA-123,IfcSlab-Standard,三层,混凝土,8.316,14.21,7.887,7.887,m³,480.0,3785.76,CSV Schedule,Pass,m³,124,sample_elements.csv,
E-0124,GUID-0124,CSV,IfcWall,Wall,墙-AA-124,IfcWall-Standard,一层,混凝土,6.6,29.103,6.328,6.328,m³,430.0,2721.04,CSV Schedule,Pass,m³,125,sample_elements.csv,
E-0125,GUID-0125,CSV,IfcDoor,Door,门-AA-125,IfcDoor-Standard,二层,木材,3.726,0.668,7.61,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,126,sample_elements.csv,
E-0126,GUID-0126,CSV,IfcWindow,Window,窗-AA-126,IfcWindow-Standard,三层,玻璃,9.338,7.019,2.511,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,127,sample_elements.csv,
E-0127,GUID-0127,CSV,IfcBeam,Beam,梁-AA-127,IfcBeam-Standard,一层,混凝土,8.077,16.377,7.478,7.478,m³,520.0,3888.56,CSV Schedule,Pass,m³,128,sample_elements.csv,
E-0128,GUID-0128,CSV,IfcColumn,Column,柱-AA-128,IfcColumn-Standard,二层,混凝土,1.815,1.618,1.22,1.22,m³,560.0,683.2,CSV Schedule,Pass,m³,129,sample_elements.csv,
